cellID,cx,cy,p1,p2,p3,nbr12,nbr23,nbr31,n12x,n12y,n23x,n23y,n31x,n31y
1154,-0.211905894348595,0.386970372019187,790,682,683,1523,1038,1238,0.868625406024049,-0.495469377469038,0.0,1.0,-0.849442715137576,-0.52768084454498
1155,-0.403988031935148,0.30360998280097,690,689,566,1402,1160,936,0.999953113911492,0.0096834900067539,-0.531853328038154,0.846836488027494,-0.485529388579208,-0.874220345694322
1156,-0.380312421486178,-0.413630756495339,1084,590,591,1223,82,1135,-0.874139971225651,0.485674078684067,-0.0271229264972354,-0.999632105756025,0.802750905167777,0.596314501125299
1157,-0.275702219260106,-0.34945903060663,947,822,948,1643,1407,1803,-0.845608539188715,-0.533803520455914,0.849607009003017,-0.527416277955987,0.0696518605980899,0.997571360011515
1158,0.318612772548902,0.41283351987131,665,538,539,1012,1075,1159,0.884362371949195,-0.466801023007012,0.0,1.0,-0.847494187591174,-0.53080467405551
1159,0.303579596209757,0.403978740835283,665,539,666,1158,976,1297,0.847494187591174,0.53080467405551,-0.873618755190053,0.486611005403888,0.0098868263485517,-0.999951124137952
1160,-0.412837083904167,0.318625628912437,689,565,566,1183,1019,1155,0.465932629975514,0.884820198867601,-1.0,-0.0,0.531853328038154,-0.846836488027494
1161,-0.412540577479388,0.257917947269094,691,567,568,937,353,971,0.461741823500047,0.88701436765751,-1.0,-3.6637359812630205e-15,0.512108475714634,-0.858920781621468
1162,-0.385497078565611,-0.120390695956526,811,703,704,1453,850,1253,0.428671047848902,0.903460642604936,-0.999317238674619,-0.0369466708613066,0.493197073014369,-0.869917609414857
1163,-0.363284283537702,0.015721203315466,980,806,807,1742,1569,1743,0.538813437025297,0.842425118382035,-0.999793585223921,-0.0203171588835186,0.570144384621615,-0.821544509253418
1164,0.377719129765089,-0.411015580834882,761,615,616,1137,538,1262,-0.90883198512427,0.417162345873977,0.164481926884926,-0.986380096985042,0.669629517473423,0.74269530046198
1165,0.404877779346996,-0.397447165306528,1086,616,617,1262,967,1104,-0.997609999569786,0.0690962282499651,0.63304128221832,-0.77411803686995,0.485674078684077,0.874139971225646
1166,-0.136110425592824,0.412520800027048,680,553,554,1125,1009,1239,0.883851525262642,-0.467767550489451,1.0991207943789e-14,1.0,-0.86311217977342,-0.505012242551381
1167,-0.211332879768272,0.352925980438597,928,927,790,1944,1680,1748,0.0289027814524708,-0.99958222734516,0.846161844055388,0.53292601143572,-0.86066676960102,0.509168647605629
1168,0.198454805857249,-0.219897849138563,875,771,523,1266,881,1459,0.986585279078448,0.16324670626295,-0.474770504786392,0.88010963395754,-0.45520591478592,-0.890386194380794
1169,0.30472206469055,-0.174071358054844,1044,908,1040,1824,1862,1825,-0.905585396087736,0.424163989976305,0.183562516778274,-0.983008037827782,0.913949003053351,0.405829052456555
1170,-0.150899301260199,-0.402755388691699,719,718,598,1235,521,1188,-0.0402467532780082,0.999189771189927,-0.864463920166182,-0.502694868415143,0.869368720608636,-0.494163968362023
1171,-0.251414662896257,-0.201915404546498,915,872,663,1619,1175,1252,0.0876314046425526,-0.996152968635025,0.80046285143794,0.599382368332471,-0.967705149297438,0.252084795303532
1172,-0.0658730863709823,-0.299287972059891,890,661,529,1143,734,804,-0.046208768342607,-0.998931804343149,0.94590403410382,0.324446541461177,-0.801918874818132,0.597432940345961
1173,0.0014837753095177,-0.307320615380999,882,767,883,1489,1200,1764,0.785236705433951,0.619195701244149,-0.828157859069987,0.560494924562761,0.103676650185089,-0.994611055743097
1174,-0.403281059955781,-0.150635651698719,705,704,581,983,878,1324,0.99987559480396,0.0157732341460836,-0.509347510931968,0.860560929340514,-0.437558387882334,-0.899190000608221
1175,-0.236661391186194,-0.19085987829806,872,533,663,1415,992,1171,0.890386194380791,-0.455205914785927,-0.0814591047660589,0.996676684913775,-0.80046285143794,-0.599382368332471
1176,0.380457289427788,0.413869779368661,1085,536,537,1131,840,1177,0.873959434493332,-0.485998875369167,0.0085047234028453,0.999963834185937,-0.804699069142476,-0.593682918839032
1177,0.365429289838063,0.405104743995842,1085,537,664,1176,1045,2068,0.804699069142476,0.593682918839032,-0.882249540122724,0.470782060993451,0.0798381384054641,-0.996807840888077
1178,-0.0451997238061795,0.412602083707357,677,550,551,1212,837,1289,0.88216467432555,-0.470941065710028,-1.64868119156836e-14,1.0,-0.861050716455908,-0.508519088816504
1179,-0.0149677720240444,0.412872529148132,676,549,550,868,575,1212,0.873035618267151,-0.487656445909304,1.4654943925052202e-14,1.0,-0.857207884825443,-0.514970525557619
1180,0.202214013424676,-0.251524285699528,910,875,659,1205,1459,1640,0.993115954230887,0.117135397946454,-0.599382368332475,0.800462851437937,-0.254865710837062,-0.966976457541506
1181,0.386105878140313,-0.0597477750773769,853,745,746,1585,1017,1396,-0.530469962514821,-0.847703732957172,0.999294497433798,-0.0375567224146673,-0.428490513883276,0.903546279673623
1182,-0.412981717217012,0.349220485071853,688,564,565,784,443,1183,0.47078206099345,0.882249540122725,-0.999927003100967,-0.0120825688294233,0.538752452444165,-0.842464120889072
1183,-0.40410893849868,0.334308253263717,688,565,689,1182,1160,1390,-0.538752452444165,0.842464120889072,-0.465932629975514,-0.884820198867601,0.999998052610048,0.0019735187130817
1184,-0.273123807705991,0.403593600694449,685,684,558,1462,877,1256,-0.00676933171099,-0.999977087811609,0.881960263557219,0.471323767177172,-0.864014069830286,0.503467662452422
1185,-0.318095202880996,0.412547313029124,686,559,560,1216,50,848,0.869822900469504,-0.493364086470447,-0.0154286841709374,0.999880970768398,-0.868247989996109,-0.496130454485226
1186,-0.288630777991696,-0.0796300735778057,1119,499,884,2004,1218,947,0.999967678369182,-0.0080400383672889,-0.521351693782559,0.85334190767245,-0.351699094827777,-0.936113105718172
1187,-0.403835715865514,-0.0906611711976388,703,702,579,1375,573,665,0.999509856205118,-0.031305707927232,-0.505786526710966,0.862658674910104,-0.501503756751635,-0.865155466932965
1188,-0.13588365982123,-0.411531965843658,719,598,599,1170,582,1189,-0.869368720608636,0.494163968362023,-0.0151649060945586,-0.999885006199785,0.883694461028662,0.468064204513934
1189,-0.120825654335044,-0.402862293847126,719,599,720,1188,918,1530,-0.883694461028662,-0.468064204513934,0.867518969060389,-0.497404099621626,0.0366664976386845,0.999327557886258
1190,0.120418048562627,0.384978742210783,779,671,672,1380,1283,1561,0.867873609901952,-0.496785061405589,0.0018653533867504,0.999998260226858,-0.887471924981214,-0.460861782284167
1191,0.201836871255304,0.25002040863829,904,654,873,1379,1543,1647,-0.31749319734257,0.948260549448933,-0.613819659679777,-0.789446277710272,0.994100912922612,-0.108459093332137
