triID,cx,cy,v1,v2,v3,nbr12,nbr23,nbr31,n12x,n12y,n23x,n23y,n31x,n31y
1746,-0.0254987443034895,-0.335253754010786,1004,982,884,1636,1766,1745,-0.262589642040575,-0.964907601738634,0.999253162725396,-0.0386408693392632,-0.659796648118736,0.751444198281736
1747,-0.320348237986778,0.0678024856327355,993,650,889,1748,1482,1799,-0.609833615431754,-0.792529470423299,0.99808345645238,-0.0618822588151971,-0.393555053598376,0.919301049595387
1748,-0.330653195868,0.0539600474140123,993,1002,650,1483,1424,1747,-0.998036532175781,0.0626344988208689,0.275705984674404,-0.961242014278775,0.609833615431754,0.792529470423299
1749,-0.227111577964924,0.360959593303826,929,791,792,1168,1239,1750,0.86066676960102,-0.509168647605629,-0.0343902829839665,0.999408479269754,-0.841703683115393,-0.539939727960429
1750,-0.242959632311101,0.35176071639813,929,792,930,1749,1464,1805,0.841703683115393,0.539939727960429,-0.855191179364734,0.518312692046756,0.0469062249155741,-0.998899297258823
1751,-0.17317532533266,0.306896457699159,1024,904,1050,1881,1785,1882,-0.986800225773599,0.161942318166608,0.399485425663831,-0.916739545717423,0.408619454864333,0.912704848845658
1752,-0.180523513101285,0.335535484124317,1024,927,928,1882,1577,1946,0.763256175210255,-0.646095976619119,0.121822922325209,0.99255185033133,-0.863231344317346,-0.504808524282294
1753,0.19615300207125,-0.36052281733024,958,838,839,1700,1479,1754,-0.831273961141895,0.555862934119071,-0.0718019598336143,-0.997418908264753,0.856703028965084,0.515809965163576
1754,0.211790199912974,-0.352586058003753,958,839,959,1753,1687,1907,-0.856703028965084,-0.515809965163576,0.857559139645511,-0.514385382772928,-0.00843976943902094,0.999964384511677
1755,-0.336321698165728,0.00738747330850615,981,1009,877,1744,1498,1756,-0.969951138899122,-0.243299790686913,0.7135795358706,-0.700574225893801,0.0235200928202208,0.999723364353224
